total_accuracy,f1_gasp,recall_gasp,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info
0.767218137254902,0.7784030220799973,0.8227430555555555,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_5_date_2019-09-18
0.5532832924836601,0.5260157034993991,0.75,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_5_date_2019-09-18
0.7882301879084967,0.7918207454973423,0.8154513888888889,gasp,104,52,52,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_5_date_2019-09-18
0.6862847222222223,0.679158068584472,0.6727430555555555,gasp,104,52,52,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_5_date_2019-09-18
0.6625868055555555,0.610988255488062,0.5625,gasp,104,52,52,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_5_date_2019-09-18
0.7321435866013072,0.7476391431785412,0.8020833333333333,gasp,104,52,52,26,0.2,5,5,5,20,GaussianNB,None,experiment_5_date_2019-09-18
0.699734477124183,0.6919881457981303,0.689236111111111,gasp,104,52,52,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_5_date_2019-09-18
0.8063725490196078,0.8059388419672862,0.8137152777777777,gasp,104,52,52,26,0.2,5,5,5,20,MLPClassifier,None,experiment_5_date_2019-09-18
0.8593750000000001,0.8742713554720134,0.9609375,gasp,100,50,50,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-18
0.872436683006536,0.886333765320843,0.9595486111111111,gasp,104,52,52,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-18
0.8569546568627451,0.8690824976322269,0.9302083333333333,gasp,104,52,52,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-18
0.8434487336601307,0.8584788437686288,0.9321180555555555,gasp,104,52,52,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-18
0.8679125816993464,0.8814767056708267,0.9605902777777778,gasp,104,52,52,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-18
0.6671874999999999,0.6647116021448451,0.6734374999999999,gasp,100,50,50,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-18
0.7153645833333333,0.7066966492614714,0.6963541666666666,gasp,104,52,52,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-18
0.6509548611111111,0.6335231235482783,0.6399305555555556,gasp,104,52,52,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-18
0.6526807598039215,0.6477955406484229,0.6539930555555555,gasp,104,52,52,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-18
0.6806117238562092,0.6775037310041181,0.690625,gasp,104,52,52,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-18
0.7671875,0.7637811546683451,0.7609375,gasp,100,50,50,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-18
0.7354166666666666,0.7315668896377101,0.739236111111111,gasp,104,52,52,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-18
0.720358455882353,0.7328224543559296,0.7786458333333335,gasp,104,52,52,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-18
0.7479115604575164,0.749415086332656,0.7600694444444445,gasp,104,52,52,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-18
0.7708690767973856,0.7661592690075663,0.7685763888888888,gasp,104,52,52,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-18
0.71171875,0.7187694266303013,0.7625,gasp,100,50,50,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.7144965277777777,0.7422177184270837,0.8265625000000001,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.7300653594771241,0.7404272641917765,0.7824652777777777,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.7572916666666667,0.7738787664882194,0.8309027777777778,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.7246680964052288,0.735582900632369,0.7710069444444445,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.5578125,0.6951131782024231,1.0,gasp,100,50,50,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
