total_accuracy,f1_sniff,recall_sniff,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info
0.7229166666666667,0.7155059523809524,0.7333333333333333,sniff,38,19,19,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-19
0.7645833333333333,0.7947916666666667,0.8916666666666665,sniff,38,19,19,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-19
0.7354166666666667,0.7745833333333333,0.9166666666666666,sniff,38,19,19,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-19
0.7208333333333333,0.7503273809523809,0.825,sniff,38,19,19,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-19
0.6895833333333333,0.7557440476190476,0.9125,sniff,38,19,19,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-19
0.6770833333333334,0.7198511904761904,0.8458333333333333,sniff,38,19,19,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-19
0.7416666666666666,0.7696428571428571,0.8666666666666666,sniff,38,19,19,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.7729166666666667,0.7990178571428571,0.8916666666666666,sniff,38,19,19,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.7375,0.7546726190476191,0.8416666666666666,sniff,38,19,19,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.7958333333333334,0.8235416666666666,0.9208333333333334,sniff,38,19,19,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.7604166666666667,0.7760714285714285,0.8458333333333332,sniff,38,19,19,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.5875,0.23416666666666666,0.18333333333333335,sniff,38,19,19,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.5791666666666666,0.2625,0.23333333333333334,sniff,38,19,19,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.5708333333333333,0.29613095238095233,0.3125,sniff,38,19,19,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.5625,0.21666666666666667,0.1875,sniff,38,19,19,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.5562499999999999,0.30041666666666667,0.3333333333333333,sniff,38,19,19,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.7104166666666667,0.7382738095238094,0.8291666666666667,sniff,38,19,19,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-19
