total_accuracy,f1_cry,recall_cry,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info,userInput
0.8119318181818183,0.8187869188168152,0.8494318181818181,cry,276,138,138,11,0.2,5,5,5,5,KNeighborsClassifier,None,experiment_2_date_2019-08-25
0.7278409090909091,0.7182851894254552,0.7011363636363637,cry,276,138,138,11,0.2,5,5,5,5,SVC,None,experiment_2_date_2019-08-25
0.7872159090909092,0.823463556821269,0.9829545454545455,cry,276,138,138,11,0.2,5,5,5,5,SVC,None,experiment_2_date_2019-08-25
0.8303977272727272,0.8337480938398865,0.8545454545454545,cry,276,138,138,11,0.2,5,5,5,5,GaussianProcessClassifier,None,experiment_2_date_2019-08-25
0.7755681818181819,0.7778991816860499,0.790340909090909,cry,276,138,138,11,0.2,5,5,5,5,DecisionTreeClassifier,None,experiment_2_date_2019-08-25
0.7994318181818181,0.7919385656109311,0.772159090909091,cry,276,138,138,11,0.2,5,5,5,5,RandomForestClassifier,None,experiment_2_date_2019-08-25
0.6744318181818182,0.6706935950963997,0.6704545454545454,cry,276,138,138,11,0.2,5,5,5,5,GaussianNB,None,experiment_2_date_2019-08-25
0.8176136363636364,0.8168505273020636,0.81875,cry,276,138,138,11,0.2,5,5,5,5,AdaBoostClassifier,None,experiment_2_date_2019-08-25
0.8150568181818182,0.8165323784459142,0.8267045454545454,cry,276,138,138,11,0.2,5,5,5,5,MLPClassifier,None,experiment_2_date_2019-08-25
0.8713068181818182,0.8673962110166358,0.8465909090909091,cry,276,138,138,16,0.2,5,5,5,10,Sequential,model_layers=5,experiment_2_date_2019-08-25
0.7781250000000001,0.7752191188816058,0.7704545454545455,cry,276,138,138,16,0.2,5,5,5,10,Id3Estimator,None,experiment_2_date_2019-08-25
0.8357954545454546,0.8353870884312085,0.8403409090909091,cry,276,138,138,16,0.2,5,5,5,10,KNeighborsClassifier,None,experiment_2_date_2019-08-25
0.7238636363636364,0.7121394890156625,0.6852272727272727,cry,276,138,138,16,0.2,5,5,5,10,SVC,None,experiment_2_date_2019-08-25
