filename,spectral_centroid,zero_crossings,spectral_rolloff,chroma_stft,rms,mel_spec,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,label
412417__theneedle-tv__sci-fi-growl-scream-low-01_(1)_0.wav,1174.7539362481562,0.04777696397569445,2344.178263346354,0.2748481333255768,49.63460159301758,4.949762344360352,-156.57550048828125,172.42596435546875,-33.30210876464844,31.159059524536133,-4.586771011352539,11.045873641967773,-2.3389995098114014,6.336588382720947,-1.856109380722046,4.739300727844238,-0.7763873934745789,-1.587262511253357,-2.750882863998413,-5.932024955749512,-0.6287571787834167,-2.4236371517181396,-4.323904514312744,-2.236989974975586,-4.423773765563965,-3.108253240585327,-4.62499475479126,0.7002043128013611,-1.714384913444519,-2.2660181522369385,-2.7245631217956543,Far_miss
412417__theneedle-tv__sci-fi-growl-scream-low-01_(1)_1.wav,1641.5462380718038,0.05120849609375,3613.092041015625,0.2674500644207001,40.59775924682617,1.5326255559921265,-159.05264282226562,115.47029876708984,-13.682010650634766,31.426868438720703,-3.46476149559021,19.949697494506836,-8.364884376525879,8.333949089050293,-5.516000747680664,4.186405658721924,-6.224140167236328,-0.3839392066001892,-5.533938884735107,-2.3745479583740234,-1.4474167823791504,-0.3039783835411072,-10.778003692626953,0.3960699141025543,-4.711935997009277,-0.34189659357070923,-5.650729656219482,6.161468029022217,-0.45426198840141296,0.6612675786018372,-3.028658151626587,Far_miss
412417__theneedle-tv__sci-fi-growl-scream-low-01_(1)_2.wav,1231.3677562514956,0.04175708912037037,2531.34765625,0.2819119989871979,45.13680648803711,4.645689010620117,-140.37750244140625,164.4328155517578,-31.867443084716797,32.592769622802734,-3.864041566848755,15.09807014465332,-5.238121509552002,7.397281169891357,-2.938093662261963,3.0438711643218994,-2.181701421737671,-1.4154058694839478,-0.7580422759056091,-3.203341245651245,-0.4297417104244232,-1.495129942893982,-6.8978047370910645,-1.4019604921340942,-6.487484455108643,-5.041327953338623,-6.084268093109131,2.9794936180114746,0.08432244509458542,-3.8947696685791016,-4.887723445892334,Far_miss
412417__theneedle-tv__sci-fi-growl-scream-low-01_(1)_3.wav,590.3151063582294,0.017496744791666668,1155.2663167317708,0.34280914068222046,62.15983963012695,9.691376686096191,-195.63221740722656,235.12258911132812,-21.75168228149414,12.506624221801758,14.643348693847656,4.052302837371826,7.338578224182129,4.025445938110352,5.128610134124756,1.503481149673462,3.134448528289795,-1.3665084838867188,-0.5448196530342102,-1.3887649774551392,-1.5005275011062622,1.0922503471374512,-0.8279452919960022,0.21358899772167206,-0.7170791029930115,-2.8990275859832764,-3.6581783294677734,-1.1159697771072388,-0.37880396842956543,-1.3809555768966675,0.17314282059669495,Far_miss
412417__theneedle-tv__sci-fi-growl-scream-low-01_(1)_4.wav,380.22699745355436,0.014180501302083334,698.2838948567709,0.3687201738357544,79.83284759521484,3.1701018810272217,-336.89459228515625,197.60784912109375,47.05447769165039,-5.38545560836792,6.634392738342285,4.706467628479004,-0.49101412296295166,3.7831811904907227,2.9290378093719482,0.020677920430898666,1.2796238660812378,0.5871325731277466,-0.17066620290279388,1.0741159915924072,0.5690848231315613,-0.16566608846187592,0.793389618396759,-0.29609566926956177,-3.052424669265747,-4.602680683135986,-4.942624092102051,-4.618046283721924,-4.141360282897949,-4.6543803215026855,-5.085919380187988,Far_miss
412417__theneedle-tv__sci-fi-growl-scream-low-01_(1)_5.wav,1499.0436878218131,0.14275593840317918,3089.7034749819363,0.4908621609210968,161.97207641601562,0.0007167020812630653,-795.9724731445312,102.71626281738281,31.21993637084961,-17.187379837036133,-26.59846305847168,-20.23836326599121,-13.902732849121094,-9.309252738952637,-6.116800308227539,-5.377740383148193,-4.717862129211426,-2.9990932941436768,-1.0888837575912476,-0.14864106476306915,0.025877848267555237,-0.6550790667533875,-1.9887422323226929,-4.18955659866333,-6.9113240242004395,-8.972085952758789,-8.909472465515137,-7.12253475189209,-4.798035621643066,-2.585536479949951,-0.18885211646556854,Far_miss
412417__theneedle-tv__sci-fi-growl-scream-low-01_0.wav,1174.7539362481562,0.04777696397569445,2344.178263346354,0.2748481333255768,49.63460159301758,4.949762344360352,-156.57550048828125,172.42596435546875,-33.30210876464844,31.159059524536133,-4.586771011352539,11.045873641967773,-2.3389995098114014,6.336588382720947,-1.856109380722046,4.739300727844238,-0.7763873934745789,-1.587262511253357,-2.750882863998413,-5.932024955749512,-0.6287571787834167,-2.4236371517181396,-4.323904514312744,-2.236989974975586,-4.423773765563965,-3.108253240585327,-4.62499475479126,0.7002043128013611,-1.714384913444519,-2.2660181522369385,-2.7245631217956543,Far_miss
412417__theneedle-tv__sci-fi-growl-scream-low-01_1.wav,1641.5462380718038,0.05120849609375,3613.092041015625,0.2674500644207001,40.59775924682617,1.5326255559921265,-159.05264282226562,115.47029876708984,-13.682010650634766,31.426868438720703,-3.46476149559021,19.949697494506836,-8.364884376525879,8.333949089050293,-5.516000747680664,4.186405658721924,-6.224140167236328,-0.3839392066001892,-5.533938884735107,-2.3745479583740234,-1.4474167823791504,-0.3039783835411072,-10.778003692626953,0.3960699141025543,-4.711935997009277,-0.34189659357070923,-5.650729656219482,6.161468029022217,-0.45426198840141296,0.6612675786018372,-3.028658151626587,Far_miss
412417__theneedle-tv__sci-fi-growl-scream-low-01_2.wav,1231.3677562514956,0.04175708912037037,2531.34765625,0.2819119989871979,45.13680648803711,4.645689010620117,-140.37750244140625,164.4328155517578,-31.867443084716797,32.592769622802734,-3.864041566848755,15.09807014465332,-5.238121509552002,7.397281169891357,-2.938093662261963,3.0438711643218994,-2.181701421737671,-1.4154058694839478,-0.7580422759056091,-3.203341245651245,-0.4297417104244232,-1.495129942893982,-6.8978047370910645,-1.4019604921340942,-6.487484455108643,-5.041327953338623,-6.084268093109131,2.9794936180114746,0.08432244509458542,-3.8947696685791016,-4.887723445892334,Far_miss
412417__theneedle-tv__sci-fi-growl-scream-low-01_3.wav,590.3151063582294,0.017496744791666668,1155.2663167317708,0.34280914068222046,62.15983963012695,9.691376686096191,-195.63221740722656,235.12258911132812,-21.75168228149414,12.506624221801758,14.643348693847656,4.052302837371826,7.338578224182129,4.025445938110352,5.128610134124756,1.503481149673462,3.134448528289795,-1.3665084838867188,-0.5448196530342102,-1.3887649774551392,-1.5005275011062622,1.0922503471374512,-0.8279452919960022,0.21358899772167206,-0.7170791029930115,-2.8990275859832764,-3.6581783294677734,-1.1159697771072388,-0.37880396842956543,-1.3809555768966675,0.17314282059669495,Far_miss
412417__theneedle-tv__sci-fi-growl-scream-low-01_4.wav,380.22699745355436,0.014180501302083334,698.2838948567709,0.3687201738357544,79.83284759521484,3.1701018810272217,-336.89459228515625,197.60784912109375,47.05447769165039,-5.38545560836792,6.634392738342285,4.706467628479004,-0.49101412296295166,3.7831811904907227,2.9290378093719482,0.020677920430898666,1.2796238660812378,0.5871325731277466,-0.17066620290279388,1.0741159915924072,0.5690848231315613,-0.16566608846187592,0.793389618396759,-0.29609566926956177,-3.052424669265747,-4.602680683135986,-4.942624092102051,-4.618046283721924,-4.141360282897949,-4.6543803215026855,-5.085919380187988,Far_miss
412417__theneedle-tv__sci-fi-growl-scream-low-01_5.wav,1499.0436878218131,0.14275593840317918,3089.7034749819363,0.4908621609210968,161.97207641601562,0.0007167020812630653,-795.9724731445312,102.71626281738281,31.21993637084961,-17.187379837036133,-26.59846305847168,-20.23836326599121,-13.902732849121094,-9.309252738952637,-6.116800308227539,-5.377740383148193,-4.717862129211426,-2.9990932941436768,-1.0888837575912476,-0.14864106476306915,0.025877848267555237,-0.6550790667533875,-1.9887422323226929,-4.18955659866333,-6.9113240242004395,-8.972085952758789,-8.909472465515137,-7.12253475189209,-4.798035621643066,-2.585536479949951,-0.18885211646556854,Far_miss
413549__inspectorj__ambience-creepy-wind-a_0.wav,424.6632693092481,0.023758499710648147,584.5367431640625,0.44697076082229614,85.83269500732422,1.2061846256256104,-358.6457824707031,222.6436309814453,16.771291732788086,33.979148864746094,28.37079620361328,3.9135706424713135,-5.743159770965576,-9.350650787353516,-0.660969078540802,-2.8162379264831543,3.80098819732666,6.928412437438965,4.654544830322266,6.274079322814941,4.05161714553833,0.9701097011566162,-4.394345760345459,-3.3124301433563232,-4.650555610656738,-8.261390686035156,-4.142230033874512,-3.288658380508423,-1.5791451930999756,0.5093346834182739,-0.4467765688896179,Far_miss
413549__inspectorj__ambience-creepy-wind-a_1.wav,383.39921551248807,0.022474500868055556,560.2121988932291,0.4533224105834961,80.55638122558594,2.5856211185455322,-324.1853942871094,231.82949829101562,19.99651336669922,33.84987258911133,33.20563888549805,2.2999141216278076,-4.667156219482422,-7.041272163391113,-0.4249197542667389,-1.1695224046707153,3.024357795715332,8.095293045043945,5.210267066955566,4.865061283111572,2.8712096214294434,-1.1373687982559204,-5.180877208709717,-5.091593265533447,-6.213508129119873,-9.457200050354004,-5.337827205657959,-3.349118947982788,-2.76869535446167,0.1395920068025589,-0.6809460520744324,Far_miss
413549__inspectorj__ambience-creepy-wind-a_2.wav,373.1445637681802,0.020417390046296297,557.470703125,0.46743184328079224,80.28152465820312,3.0849246978759766,-322.9329528808594,230.97059631347656,20.072547912597656,34.35482406616211,33.30922317504883,3.1398863792419434,-4.5786213874816895,-7.559269428253174,-0.9375068545341492,-1.848205327987671,2.680483102798462,7.837015628814697,5.186022758483887,4.930263519287109,2.5931835174560547,-1.4316076040267944,-5.600781440734863,-5.603368759155273,-7.445630073547363,-10.93001937866211,-6.126394271850586,-4.123451232910156,-3.436432123184204,-0.6288421750068665,-2.2773592472076416,Far_miss
413549__inspectorj__ambience-creepy-wind-a_3.wav,372.12441855244674,0.020003707320601853,557.2713216145834,0.4592074751853943,79.05146026611328,3.1793978214263916,-319.18023681640625,225.42005920410156,24.585105895996094,30.857080459594727,35.027862548828125,2.1079823970794678,-4.915423393249512,-5.407900810241699,-1.566801905632019,-0.7100892066955566,2.707367420196533,8.263178825378418,5.890965938568115,4.0815911293029785,2.506736993789673,-2.2090342044830322,-5.625614166259766,-5.422447681427002,-7.318255424499512,-10.376471519470215,-6.573873043060303,-3.2422049045562744,-2.7355589866638184,-0.3215477168560028,-1.141884684562683,Far_miss
413549__inspectorj__ambience-creepy-wind-a_4.wav,369.9572557644517,0.019558376736111112,555.377197265625,0.5142107605934143,79.70693969726562,3.397575616836548,-320.42962646484375,229.08291625976562,23.35726547241211,33.276729583740234,34.371498107910156,2.8681883811950684,-4.737442970275879,-6.870343208312988,-1.1135846376419067,-1.1067698001861572,2.8840811252593994,8.390593528747559,5.679650783538818,4.777252197265625,3.234837770462036,-1.6915910243988037,-5.745331287384033,-5.2312092781066895,-7.063226699829102,-10.41816520690918,-6.116978168487549,-4.03143310546875,-3.678907632827759,-0.5040482878684998,-1.2253187894821167,Far_miss
413549__inspectorj__ambience-creepy-wind-a_5.wav,403.6517695801452,0.02691876446759259,571.1283365885416,0.3833203613758087,93.4371566772461,1.5302573442459106,-421.1568908691406,166.56565856933594,48.10570526123047,26.352710723876953,22.428464889526367,0.8216473460197449,-9.364705085754395,-9.329005241394043,-5.819763660430908,-3.4704883098602295,0.0020729347597807646,3.9271252155303955,4.277023792266846,3.603339910507202,1.8360785245895386,-2.3666021823883057,-5.072268962860107,-5.434935569763184,-6.88820743560791,-8.31809139251709,-6.087421417236328,-3.5573995113372803,-2.179603099822998,-0.6419598460197449,-0.9006778597831726,Far_miss
