filename,spectral_centroid,zero_crossings,spectral_rolloff,chroma_stft,rms,mel_spec,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,label
silence.wav_72.wav,679.3246013386569,0.00604248046875,731.1319986979166,0.6600616574287415,135.2511444091797,12.945897102355957,-278.7127380371094,107.32096099853516,38.34343338012695,19.791959762573242,16.085432052612305,Far_miss
silence.wav_73.wav,656.7084690277062,0.005698875144675926,643.2047526041666,0.6779788732528687,135.99969482421875,14.464612007141113,-280.9522705078125,105.72039794921875,39.16130828857422,20.881282806396484,16.20047950744629,Far_miss
silence.wav_74.wav,665.2132510160977,0.0054931640625,662.4949137369791,0.6779143810272217,137.14491271972656,14.483124732971191,-284.3141174316406,103.36038208007812,39.84688186645508,22.657350540161133,17.10370445251465,Far_miss
silence.wav_75.wav,675.8518521650395,0.006047001591435185,664.239501953125,0.6573260426521301,138.2551727294922,14.418852806091309,-287.7165222167969,100.5108871459961,40.69900131225586,24.289012908935547,18.155771255493164,Far_miss
silence.wav_76.wav,709.9318370845749,0.007156937210648148,781.475830078125,0.6581319570541382,139.29042053222656,13.42386531829834,-290.4774169921875,99.33380889892578,41.35960006713867,24.735971450805664,18.511451721191406,Far_miss
silence.wav_77.wav,783.0155315971723,0.007900661892361112,971.9350179036459,0.6593329310417175,123.83618927001953,11.785072326660156,-252.16156005859375,101.96917724609375,38.931270599365234,23.545040130615234,17.311927795410156,Far_miss
silence.wav_78.wav,799.7058184733845,0.008388943142361112,1037.8804524739583,0.6284837126731873,119.59500122070312,10.868404388427734,-240.93399047851562,104.08003997802734,38.20201110839844,23.160228729248047,17.229143142700195,Far_miss
silence.wav_79.wav,793.2035419386586,0.008477105034722222,1024.2228190104167,0.6146988868713379,118.82772827148438,11.375682830810547,-238.3492889404297,106.10096740722656,37.83095932006836,22.232044219970703,16.689306259155273,Far_miss
silence.wav_8.wav,820.4171980124418,0.010597511574074073,1349.9623616536458,0.6394249200820923,101.98357391357422,16.007631301879883,-181.92047119140625,132.70504760742188,20.264982223510742,15.620927810668945,22.04939842224121,Far_miss
silence.wav_80.wav,808.6595010234298,0.00837085865162037,1116.3869222005208,0.6158983707427979,116.83643341064453,10.728821754455566,-230.65109252929688,111.48033905029297,36.28845977783203,21.4835205078125,15.780921936035156,Far_miss
silence.wav_81.wav,774.0290333126975,0.00814254195601852,1055.3761800130208,0.6138724684715271,115.29926300048828,11.824810981750488,-223.40074157714844,117.28057098388672,32.047611236572266,20.058732986450195,15.846789360046387,Far_miss
silence.wav_82.wav,719.9828729414589,0.007758246527777778,937.4420166015625,0.6215672492980957,137.9646759033203,6.990240097045898,-279.62750244140625,118.49638366699219,34.48623275756836,20.88804817199707,17.027584075927734,Far_miss
silence.wav_83.wav,689.6172592843558,0.007265444155092593,841.9881184895834,0.6518607139587402,138.23306274414062,8.43910026550293,-280.1495361328125,117.81327056884766,35.94960403442383,22.417125701904297,17.522703170776367,Far_miss
silence.wav_84.wav,660.3996367840298,0.007152416087962963,723.9044189453125,0.660574197769165,139.17092895507812,8.708091735839844,-282.50238037109375,116.09233856201172,37.54479217529297,24.82270050048828,18.583755493164062,Far_miss
silence.wav_85.wav,637.786655961068,0.006924099392361111,623.0173746744791,0.6591578125953674,140.74923706054688,8.919722557067871,-286.4058837890625,114.24275970458984,40.58962631225586,26.781373977661133,19.43855857849121,Far_miss
silence.wav_86.wav,633.6626263387154,0.006998697916666667,563.751220703125,0.64448481798172,143.1282196044922,8.775521278381348,-292.6984558105469,112.54840850830078,45.16263198852539,28.432907104492188,19.522750854492188,Far_miss
silence.wav_87.wav,690.9666282681261,0.007152416087962963,681.2367757161459,0.6279160380363464,118.68390655517578,19.31357192993164,-233.17356872558594,109.91393280029297,43.69578170776367,29.415464401245117,19.191621780395508,Far_miss
silence.wav_88.wav,716.2380103029972,0.007661042390046296,760.3413899739584,0.5923296809196472,124.11427307128906,12.019841194152832,-247.3518524169922,109.08047485351562,42.95893859863281,29.373594284057617,19.49858283996582,Far_miss
silence.wav_89.wav,729.5397363056114,0.007658781828703704,816.5669759114584,0.5846494436264038,123.1637191772461,12.484541893005371,-245.1847686767578,109.46434020996094,41.60009002685547,28.149316787719727,19.220430374145508,Far_miss
silence.wav_9.wav,838.3487856351685,0.011013454861111112,1377.3274739583333,0.6303316950798035,102.28374481201172,15.089421272277832,-184.35153198242188,130.47805786132812,20.41514778137207,15.987421035766602,21.333816528320312,Far_miss
silence.wav_90.wav,722.4497669398821,0.007355866608796296,808.392333984375,0.589349091053009,141.07052612304688,5.829111099243164,-290.91912841796875,106.79911804199219,41.30756378173828,27.257017135620117,20.442947387695312,Far_miss
silence.wav_91.wav,757.285778575518,0.007161458333333333,920.245361328125,0.5951460599899292,142.6648406982422,5.550833225250244,-296.9419250488281,102.42156982421875,40.31391143798828,27.414079666137695,20.743480682373047,Far_miss
silence.wav_92.wav,774.225163529627,0.007265444155092593,960.7696533203125,0.5973299741744995,144.40817260742188,5.7039408683776855,-301.9484558105469,99.64603424072266,41.751834869384766,28.10365104675293,21.44883155822754,Far_miss
silence.wav_93.wav,792.9882318851326,0.007204408998842593,1005.9794108072916,0.6012657880783081,144.54837036132812,5.345813751220703,-302.2275085449219,99.60777282714844,41.997249603271484,28.289989471435547,21.473289489746094,Far_miss
silence.wav_94.wav,824.3710307550447,0.007459852430555556,1100.1871744791667,0.5990089178085327,144.8130645751953,5.0635294914245605,-302.9765625,98.8783187866211,43.083072662353516,28.532772064208984,21.48773956298828,Far_miss
silence.wav_95.wav,835.0860675297232,0.007437246817129629,1120.0754801432292,0.5888108611106873,113.90845489501953,21.01899528503418,-226.9878692626953,101.07792663574219,41.49658966064453,28.308237075805664,19.724145889282227,Far_miss
silence.wav_96.wav,813.3736313421948,0.007896140769675927,1052.6845296223958,0.5803342461585999,113.2156753540039,21.463626861572266,-223.92311096191406,104.25402069091797,40.91380310058594,26.201072692871094,18.87379264831543,Far_miss
