filename,spectral_centroid,zero_crossings,spectral_rolloff,chroma_stft,rms,mel_spec,mfcc_1,label
332397__kedr-sfx__theatre-hall_27.wav,1379.3923613170234,0.05903455946180555,2591.6605631510415,0.422168493270874,168.0706787109375,1.3044145107269287,-168.0706787109375,Far_miss
332397__kedr-sfx__theatre-hall_28.wav,1401.9236669232448,0.05880172164351852,2696.136474609375,0.43528831005096436,126.00287628173828,2.9419519901275635,-126.00287628173828,Far_miss
332397__kedr-sfx__theatre-hall_29.wav,1397.6343637864557,0.0628812607020548,2600.6504842679797,0.4502663016319275,140.5814971923828,2.010749101638794,-140.5814971923828,Far_miss
332726__sethlind__screaming-monkey-or-bird_0.wav,3406.987788074846,0.19926396122685186,6851.944986979167,0.5897870659828186,173.22360229492188,1.0483006238937378,-173.22360229492188,Far_miss
332726__sethlind__screaming-monkey-or-bird_1.wav,2886.115850912409,0.14530326224662163,7287.970795502534,0.6027063727378845,279.20184326171875,0.5029929876327515,-279.20184326171875,Far_miss
335031__heraclitopd__students-chatting-amb_0.wav,1056.3061333952342,0.022257486979166668,1931.109619140625,0.4907369613647461,611.8701782226562,0.0009298998629674315,-611.8701782226562,Far_miss
335031__heraclitopd__students-chatting-amb_1.wav,1033.1591345805555,0.020724826388888888,1804.4026692708333,0.5484686493873596,595.4789428710938,0.0009633962181396782,-595.4789428710938,Far_miss
335031__heraclitopd__students-chatting-amb_2.wav,952.688194996963,0.02656159577546296,1580.596923828125,0.3409121036529541,559.7453002929688,0.0016510660061612725,-559.7453002929688,Far_miss
335031__heraclitopd__students-chatting-amb_3.wav,973.6030365793564,0.03356029369212963,1551.5370686848958,0.38986441493034363,548.339599609375,0.0015901372535154223,-548.339599609375,Far_miss
335031__heraclitopd__students-chatting-amb_4.wav,1018.8620842642057,0.027852376302083332,1759.6415201822917,0.4128333628177643,565.585205078125,0.001285990932956338,-565.585205078125,Far_miss
335031__heraclitopd__students-chatting-amb_5.wav,934.4348586200217,0.02593768084490741,1504.5328776041667,0.4672842025756836,567.9680786132812,0.0013451962731778622,-567.9680786132812,Far_miss
335031__heraclitopd__students-chatting-amb_6.wav,842.8494155724759,0.022805606617647058,1446.2712545955883,0.31223970651626587,732.2191162109375,0.0005358329508453608,-732.2191162109375,Far_miss
338955__carmsie__what-is-that_(1)_0.wav,4322.869707559463,0.36128291377314814,7214.520263671875,0.47574469447135925,439.6980895996094,0.10429252684116364,-439.6980895996094,Far_miss
338955__carmsie__what-is-that_(1)_1.wav,5097.691882241288,0.46430573640046297,7868.5414632161455,0.4504064917564392,511.2533874511719,0.05425233021378517,-511.2533874511719,Far_miss
338955__carmsie__what-is-that_(1)_2.wav,4762.0537018365,0.4006754557291667,7699.9643961588545,0.43978047370910645,275.46282958984375,4.1768622398376465,-266.170166015625,Far_miss
338955__carmsie__what-is-that_(1)_3.wav,3458.981950921402,0.20206931785300927,6737.1510823567705,0.3517708480358124,146.05706787109375,13.330205917358398,-128.44314575195312,Far_miss
